"Fecha-Hora  (UTC)","Lat(°)","Long(°)","Prof(Km)","Mag.","Tipo Mag.","Fases","Rms(Seg)","Gap(°)","Error Lat(Km)","Error Long(Km)","Error Prof(Km)","Region","QuakeML","Fases","Mapa","Estado"
"2019-12-24 19:03:52","3.453","-74.194","9","6.0","Mw","83","1.5","50","1.131","1.131","3.80","Mesetas - Meta, Colombia","","","","manual"
"2019-12-24 19:11:00","3.475","-74.186","-0.02","4.4","MLr_3","77","0.9","52","0.707","0.707","2.50","Mesetas - Meta, Colombia","","","","manual"
"2019-12-24 19:12:10","3.439","-74.206","13.07","4.0","M","26","0.6","127","0.778","0.778","2.90","Mesetas - Meta, Colombia","","","","manual"
"2019-12-24 19:15:43","3.487","-74.185","6.36","4.3","MLr","69","0.8","52","0.707","0.707","2.20","Mesetas - Meta, Colombia","","","","manual"
"2019-12-24 19:19:04","3.474","-74.242","12.48","5.8","Mw","38","0.1","48","0.283","0.283","0.90","Mesetas - Meta, Colombia","","","","manual"
"2019-12-24 19:25:22","3.457","-74.214","5.91","4.0","MLr_3","51","0.7","121","0.778","0.778","2.50","Mesetas - Meta, Colombia","","","","manual"
"2019-12-24 20:11:14","3.462","-74.214","14","4.3","Mw","77","1.0","49","0.778","0.778","2.30","Mesetas - Meta, Colombia","","","","manual"
"2019-12-24 20:23:25","3.424","-74.185","-0.02","4.1","MLr_3","66","1.0","96","0.778","0.778","3.10","Mesetas - Meta, Colombia","","","","manual"
"2019-12-25 00:25:00","3.437","-74.165","17","4.4","Mw","79","1.4","124","1.061","1.061","2.20","Mesetas - Meta, Colombia","","","","manual"
"2019-12-25 02:11:22","3.426","-74.161","10","4.7","Mw","71","0.9","132","0.778","0.778","2.30","Mesetas - Meta, Colombia","","","","manual"
"2019-12-25 05:22:25","3.437","-74.198","6.34","4.0","MLr_3","39","0.6","128","0.707","0.707","2.40","Mesetas - Meta, Colombia","","","","manual"
"2019-12-25 10:25:54","3.439","-74.16","4.15","4.3","MLr_3","80","1.6","114","1.131","1.131","2.90","Mesetas - Meta, Colombia","","","","manual"
"2019-12-26 03:48:29","3.425","-74.168","19","4.7","MLr_vmm","76","1.0","131","0.778","0.778","1.80","Mesetas - Meta, Colombia","","","","manual"
"2019-12-26 05:03:56","3.429","-74.196","18","4.0","Mw","75","1.3","122","0.919","0.919","2.00","Mesetas - Meta, Colombia","","","","manual"
"2019-12-26 10:52:19","3.408","-74.172","15","4.3","Mw","79","1.1","131","0.849","0.849","1.80","Mesetas - Meta, Colombia","","","","manual"
"2019-12-26 22:07:47","3.416","-74.171","16","4.0","Mw","59","1.2","131","1.061","1.061","2.40","Mesetas - Meta, Colombia","","","","manual"
"2019-12-27 03:20:38","3.422","-74.149","-0.5","4.5","MLr_3","87","1.7","84","1.344","1.344","2.60","Mesetas - Meta, Colombia","","","","manual"
"2020-02-13 15:29:10","3.485","-74.177","0","4.0","MLr","82","1.0","50","0.778","0.778","2.50","Mesetas - Meta, Colombia","","","","manual"
"2020-08-21 11:01:26","3.484","-74.208","2.12","4.2","M","57","0.8","92","0.849","0.849","2.30","Mesetas - Meta, Colombia","","","","manual"
"2021-02-19 15:55:38","3.489","-74.194","10.53","4.4","M","55","1.2","52","2.077","1.911","3.04","Mesetas - Meta, Colombia","","","","manual"
"2021-09-26 20:47:56","3.462","-74.251","12.99","4.0","MLr_3","47","1.2","49","2.161","1.932","3.28","Mesetas - Meta, Colombia","","","","manual"